V1,Date_Deb_Situ,ANNEE,Date_Fin_Situ,IDA,Responsabilite_IDA,ANNEE_CLOTURE,CHARGE_SINISTRE,Num_contrat,IMMAT
5416,2012-04-01,2012,2012-07-16,0,0,2012,534.382768727329,16024,75547
5417,2013-01-01,2013,2013-03-30,0,0,2013,2585.23387376825,16025,75552
5418,2012-03-07,2012,2012-12-31,1,0,2012,1403.65072320585,16031,75581
5420,2012-04-05,2012,2012-05-31,0,0,2012,6417.20638402958,16046,75627
5421,2012-04-16,2012,2012-07-26,1,0,2013,1683.17799733753,16050,75643
5422,2013-09-09,2013,2013-12-17,1,0,2014,-504.041545750516,16066,75704
5426,2013-06-18,2013,2013-12-31,1,0,2014,106.533800320719,16072,75728
5430,2012-06-01,2012,2012-11-20,0,0,2012,3958.2739137577,16079,75748
5433,2013-01-01,2013,2013-03-31,0,0,2014,2467.13483996472,16091,75785
5435,2012-04-01,2012,2012-12-31,0,0,2012,376.726971753315,16099,75829
5437,2013-05-16,2013,2013-12-25,0,0,2014,2120.65208550197,16100,75835
5439,2012-03-21,2012,2012-06-26,0,0,2012,2252.66604607746,16112,75876
5441,2012-06-26,2012,2012-12-31,0,0,2013,2695.4107765281,16122,75936
5442,2012-07-30,2012,2012-12-20,0,0,2012,2951.02075979458,16134,75974
5443,2013-01-01,2013,2013-12-31,0,0,2013,2585.783572657,16140,76033
5445,2012-04-01,2012,2012-12-31,0,0,2012,4005.81747842936,16145,76061
5446,2013-04-01,2013,2013-12-31,0,0,0,2371.25010831224,16145,76068
5447,2012-11-22,2012,2012-12-30,0,0,2013,594.504737382628,16147,76072
5448,2013-04-01,2013,2013-12-31,0,0,2014,1018.66748971177,16148,76078
5450,2012-04-01,2012,2012-12-31,0,0,2013,1672.92772982387,16175,76176
5451,2012-04-01,2012,2012-12-31,0,0,2012,2461.12048741727,16188,76246
5453,2013-04-01,2013,2013-12-31,1,0,2014,-374.075482995839,16195,76275
5454,2013-04-01,2013,2013-12-31,1,0,2014,-610.154988097489,16195,76275
5455,2012-04-01,2012,2012-12-31,0,0,2013,733.481550548891,16196,76282
5456,2012-04-11,2012,2012-07-05,1,0,2012,-166.774331481433,16199,76297
5458,2012-06-24,2012,2012-10-02,0,0,2012,2013.87038176083,16222,76413
5459,2013-03-07,2013,2013-12-31,0,0,2013,448.09082160393,16238,76468
5460,2012-04-01,2012,2012-12-31,0,0,2012,1811.51652024513,16242,76474
5462,2013-01-01,2013,2013-04-16,0,50,2014,41.9172348692104,16250,76506
5463,2013-01-01,2013,2013-12-31,0,0,2013,741.349789544655,16254,76514
5464,2013-01-01,2013,2013-03-27,0,0,2013,242.363317888677,16254,76515
5465,2013-03-01,2013,2013-06-23,0,0,2014,105.057158207815,16260,76527
5466,2013-01-01,2013,2013-03-31,0,0,2013,2484.20784074457,16265,76544
5467,2012-04-01,2012,2012-12-31,0,0,2013,4522.68533158393,16269,76553
5468,2013-01-01,2013,2013-12-31,0,0,2013,4105.74411367556,16279,76582
5469,2012-09-21,2012,2012-11-11,0,0,2013,934.40188359002,16287,76600
5470,2012-04-01,2012,2012-12-31,0,0,2014,4155.2924625297,16291,76612
5472,2013-08-06,2013,2013-10-08,0,0,2013,981.212516410021,16293,76625
5474,2013-04-01,2013,2013-09-19,0,0,2013,4023.32161559254,16315,76695
5477,2012-04-20,2012,2012-12-31,0,0,2012,3075.22037342223,16319,76720
5478,2013-01-01,2013,2013-03-27,0,0,2013,1140.89465438568,16320,76724
5479,2013-03-28,2013,2013-07-18,0,0,2013,1219.5231522954,16320,76725
5481,2013-01-01,2013,2013-12-31,0,0,2013,3672.68917344024,16329,76760
5482,2013-01-01,2013,2013-12-31,0,0,2014,2236.51998852177,16331,76773
5486,2013-05-28,2013,2013-12-31,0,0,2014,3273.83412681254,16363,76881
5487,2013-05-28,2013,2013-12-31,0,0,2013,676.744002502729,16363,76881
5489,2013-08-08,2013,2013-12-14,0,0,2014,6931.28262910209,16369,76898
5491,2013-01-01,2013,2013-04-30,1,0,2013,992.292721461589,16373,76919
